Cycle,Time Measured(Sec),Voltage Measured(V),Current Measured,Temperature Measured,Capacity(Ah),SampleId
0,3690.234,3.277169977,-0.006528351,34.23085284,1.856487421,B0005
0,3690.234,2.475767757,-2.009435892,39.16298653,2.035337591,B0006
0,3690.234,3.062112709,-0.001433299,37.33847849,1.891052295,B0007
0,3434.891,3.053230339,-0.002433415,37.2056713,1.855004521,B0018
1,3672.344,3.300244887,-0.000447553,34.39213659,1.84632725,B0005
1,3672.344,2.351525512,-2.010374856,39.24620268,2.025140246,B0006
1,3672.344,3.079226238,-0.003230385,37.1617386,1.880637028,B0007
1,3425.485,3.08820017,-0.000910648,37.15547522,1.843195532,B0018
2,3651.641,3.32745101,0.001026019,34.23277872,1.835349194,B0005
2,3651.641,2.440479715,-2.008558887,38.99920246,2.013326371,B0006
2,3651.641,3.063265547,-0.003157783,37.50810004,1.880662672,B0007
2,3410.375,3.076857654,-0.000684881,36.68085193,1.839601842,B0018
3,3631.563,3.314181859,-0.002233622,34.41344995,1.835262528,B0005
3,3631.563,2.479155854,-2.009290448,38.84362777,2.013284666,B0006
3,3631.563,3.039420908,-0.003421518,37.85540509,1.880770901,B0007
3,3404.719,3.10242391,-0.0025472,36.04487047,1.830673604,B0018
4,3629.172,3.305496731,9.24E-06,34.34588499,1.834645508,B0005
4,3629.172,2.280187848,-2.01176084,38.97798888,2.000528338,B0006
4,3629.172,3.043167178,-0.00235509,37.83587047,1.879450873,B0007
4,3417.641,3.117644174,-0.003002155,37.08459677,1.832700207,B0018
5,3652.281,3.302329113,-0.00396723,34.20092692,1.83566166,B0005
5,3652.281,2.439284257,-2.010947045,38.83989921,2.013899076,B0006
5,3652.281,3.123387982,-0.002524129,36.68060295,1.880700352,B0007
5,3411.766,3.114007319,-0.001247787,37.05331129,1.828528885,B0018
6,3650.828,3.29374067,-0.003424827,34.29828476,1.835146143,B0005
6,3650.828,2.281206845,-2.012014627,39.04610837,2.013101106,B0006
6,3650.828,3.118582129,-0.002681968,36.84575704,1.879935252,B0007
6,3399.516,3.169283092,-0.000793812,36.3514535,1.82120119,B0018
7,3572.453,3.316230741,0.001710239,34.76224184,1.825756791,B0005
7,3572.453,2.366410527,-2.009602654,38.87507521,1.968789826,B0006
7,3572.453,3.04842921,-0.003604924,38.24441491,1.881508812,B0007
7,3388.75,3.164680268,-0.00071762,36.12752493,1.815170011,B0018
8,3550.594,3.297410935,-0.001004052,35.05182953,1.824773853,B0005
8,3550.594,2.43602005,-2.010503182,38.72605398,1.968166176,B0006
8,3550.594,3.016246202,0.000274813,38.66297037,1.869690787,B0007
8,3380.406,3.166890959,0.000448821,36.03872902,1.804298052,B0018
9,3551.25,3.288404483,0.001261401,35.02973666,1.824613268,B0005
9,3551.25,2.186437749,-2.012000629,38.98629729,1.957230792,B0006
9,3551.25,3.005452832,-0.006725827,38.74331536,1.87005238,B0007
9,3404.141,3.144175531,-0.000968223,36.34921922,1.82310023,B0018
10,3530.25,3.266275575,0.000285052,35.32247969,1.824619553,B0005
10,3530.25,2.340602361,-2.008605764,38.65978862,1.945599151,B0006
10,3530.25,2.96653348,-0.002366402,39.17593372,1.870044239,B0007
10,3396.141,3.163511863,-0.00010607,36.41785812,1.812125352,B0018
11,3491.016,3.296199859,-0.000775731,35.59296016,1.814201936,B0005
11,3491.016,2.426302137,-2.008093199,38.84979196,1.934750504,B0006
11,3491.016,2.95834762,-0.006579885,39.59267385,1.859651899,B0007
11,3384.094,3.197452536,-0.001104817,35.98523209,1.804691638,B0018
12,3470.281,3.271757416,-0.000472438,35.96127245,1.813752158,B0005
12,3470.281,2.47536977,-2.008861764,38.75128344,1.923279954,B0006
12,3470.281,2.896976192,-0.004714079,39.74652756,1.859074656,B0007
12,3370.656,3.234382458,0.00320499,35.35847798,1.79084435,B0018
13,3470,3.264855084,-0.002505993,35.8696097,1.813440491,B0005
13,3470,2.342364524,-2.01142588,38.76853764,1.911889931,B0006
13,3470,2.876004651,-0.000450805,39.88045079,1.859008458,B0007
13,3357.797,3.241810891,-0.000536101,35.09411802,1.783470723,B0018
14,3450.297,3.309111202,-3.78E-05,35.53204381,1.802598004,B0005
14,3450.297,2.188400082,-2.009440178,38.84686112,1.901066714,B0006
14,3450.297,2.949033322,-0.006585241,39.17973626,1.859362259,B0007
14,3363.015,3.227333798,-0.004295588,35.57799246,1.780938613,B0018
15,3429.407,3.288149053,-0.001359333,35.81031289,1.8021069,B0005
15,3429.407,2.120698095,-2.006293377,38.86588978,1.889198995,B0006
15,3429.407,2.817578543,-0.004489723,39.56365952,1.858735545,B0007
15,3357.734,3.238447609,-0.001087277,35.99210617,1.77120904,B0018
16,3409.484,3.260754101,-0.000793555,36.24247715,1.802579501,B0005
16,3409.484,2.369981458,-2.008399903,38.64757873,1.878278372,B0006
16,3409.484,1.857554767,-1.988671436,39.62894832,1.847817291,B0007
16,3344.187,3.252365296,0.003057635,35.93164465,1.7686304,B0018
17,3390.422,3.229466822,-0.004407894,36.70221725,1.803068314,B0005
17,3390.422,2.24799165,-2.010307487,38.79218188,1.867569716,B0006
17,3390.422,2.165755612,-1.988513259,39.22534721,1.848525292,B0007
17,3339.969,3.298355582,-0.000542197,35.13854125,1.75363048,B0018
18,3390.281,3.224378895,-0.001862126,36.77890978,1.802777625,B0005
18,3390.281,2.88444637,-0.002277241,38.77022224,1.867589257,B0006
18,3390.281,2.027068634,-1.985790712,39.41263216,1.848378952,B0007
18,3327.641,3.299099453,0.001727477,34.75361973,1.746219742,B0018
19,3591.734,3.258740332,-3.54E-05,34.93481911,1.847025995,B0005
19,3591.734,2.203355847,-2.009911452,37.543206,1.979626548,B0006
19,3591.734,2.990508602,-0.003199994,38.26643351,1.880780544,B0007
19,3312.844,3.282912204,0.000396205,34.66683735,1.737664734,B0018
20,3552.297,3.218046215,0.000151942,36.06881903,1.847417311,B0005
20,3552.297,2.358877512,-2.010023847,37.90362578,1.957549908,B0006
20,3552.297,2.924443669,-0.002762863,39.34502064,1.88147216,B0007
20,3302.031,3.314359923,-0.00076384,34.31957483,1.731516674,B0018
21,3531.578,3.257309627,-0.002765735,35.57131957,1.836177421,B0005
21,3531.578,2.218672914,-2.0106213,37.67016051,1.945815017,B0006
21,3531.578,2.985701673,-0.002733686,38.40282689,1.881095431,B0007
21,3305.547,3.337095987,0.001460622,34.05159011,1.708594989,B0018
22,3492.907,3.280256747,-0.000195349,35.49553079,1.825780748,B0005
22,3492.907,2.339723058,-2.009836812,37.34166959,1.924246112,B0006
22,3492.907,2.862448292,-0.002279917,39.19501045,1.871008965,B0007
22,3289.562,3.345396458,0.00033552,34.1400493,1.711469957,B0018
23,3511.594,3.279765451,-0.001914706,35.20943494,1.825113644,B0005
23,3511.594,2.399750821,-2.008549111,37.28979017,1.945981133,B0006
23,3511.594,2.913932303,-0.000793744,39.01311177,1.870199515,B0007
23,3283.797,3.356538776,0.001851751,34.03941375,1.707502137,B0018
24,3431.937,3.205068916,-0.000256915,36.50765859,1.825581504,B0005
24,3431.937,2.491410879,-2.011253162,37.16794481,1.901407931,B0006
24,3431.937,2.050649264,-1.989613682,38.86906912,1.870671536,B0007
24,3325.235,3.291271946,0.000648271,34.67226842,1.749238206,B0018
25,3431.125,3.276866922,0.000664357,35.87513759,1.814031128,B0005
25,3431.125,2.766926989,-0.001348364,37.51577849,1.878674214,B0006
25,3431.125,1.825436974,-1.98974122,39.11839966,1.859612464,B0007
25,3317.547,3.299724834,0.000922714,35.34646737,1.732769715,B0018
26,3412.406,3.231130028,-0.002598176,36.32486455,1.814769194,B0005
26,3412.406,2.835612847,-0.000999652,37.24165964,1.868306133,B0006
26,3412.406,2.134879001,-1.989867366,38.68010761,1.86003391,B0007
26,3311.766,3.343787628,-0.001165964,35.22218595,1.722231333,B0018
27,3410.688,3.222025773,-0.000146263,36.4068772,1.813969389,B0005
27,3410.688,2.928394635,-0.003474006,37.10097467,1.856024407,B0006
27,3410.688,1.970455493,-1.987792527,38.86304568,1.859165311,B0007
27,3305.218,3.35820819,0.001578776,35.04987373,1.711846299,B0018
28,3410.718,3.290082794,-0.004012055,35.8741726,1.802765665,B0005
28,3410.718,3.077114958,-0.006584952,36.53635084,1.845199796,B0006
28,3410.718,1.813269431,-1.987021065,39.1453117,1.848139818,B0007
28,3295.453,3.355478059,0.001821746,34.99761831,1.699267835,B0018
29,3392.719,3.251176185,-0.00145143,36.40595071,1.80407704,B0005
29,3392.719,2.819560587,0.00178434,37.4960777,1.857228891,B0006
29,3392.719,2.048365732,-1.98805526,38.83805642,1.849201702,B0007
29,3287,3.380671603,-0.002532937,34.54102016,1.694036644,B0018
30,3470.672,3.249283482,-0.001499701,36.28230125,1.851802552,B0005
30,3470.672,2.434300686,-2.010184355,37.25007396,1.924776089,B0006
30,3470.672,2.88288877,-0.002596243,38.78113988,1.883467744,B0007
30,3276.922,3.39557049,0.0009201,34.50920677,1.681902708,B0018
31,3414.109,3.260087599,-0.001228815,36.73981915,1.830703846,B0005
31,3414.109,2.918775739,0.000219946,37.27669936,1.882231753,B0006
31,3414.109,2.117779935,-1.987749839,39.05387577,1.862821112,B0007
31,3268.687,3.391299823,-0.001831758,34.91065229,1.676977062,B0018
32,3395.219,3.281146601,0.001947239,36.49603036,1.819904109,B0005
32,3395.219,2.973956909,-0.003806457,37.05346892,1.855276688,B0006
32,3395.219,2.163744879,-1.98796554,38.6995517,1.85208504,B0007
32,3260.594,3.404046821,0.001599273,34.89441645,1.665522931,B0018
33,3386,3.30937152,-0.001003526,36.04392364,1.809307964,B0005
33,3386,3.033433372,0.001159494,36.4901977,1.839250892,B0006
33,3386,2.045656147,-1.987623052,38.60524149,1.846950465,B0007
33,3258.812,3.418829402,0.002319651,34.53288079,1.657192458,B0018
34,3368.187,3.295594468,-0.00183497,36.22444539,1.804609905,B0005
34,3368.187,3.061692514,-0.002470616,36.1735162,1.818539607,B0006
34,3368.187,2.135620227,-1.990880773,38.42604748,1.836828431,B0007
34,3243.422,3.414850129,-0.000457712,34.51313963,1.648224156,B0018
35,3368.266,3.317198245,-0.000170868,36.48129579,1.799377065,B0005
35,3368.266,3.086421448,-0.002485657,36.69172174,1.813477006,B0006
35,3368.266,2.042987154,-1.987965741,39.04689689,1.837161962,B0007
35,3236.515,3.416022,0.00132745,34.43103153,1.63877015,B0018
36,3358.719,3.347818507,-0.000831225,35.98576133,1.788443234,B0005
36,3358.719,3.137787322,-0.002908292,36.30505452,1.797101845,B0006
36,3358.719,1.978616239,-1.985827106,38.83676496,1.831672258,B0007
36,3230.734,3.455015989,0.001548641,33.89640362,1.627648691,B0018
37,3339.5,3.337821924,-0.00284374,36.10148289,1.782923048,B0005
37,3339.5,3.150115639,-0.001828625,36.06439554,1.781004629,B0006
37,3339.5,2.158453576,-1.988696121,38.49981471,1.821147095,B0007
37,3222.093,3.436281191,0.003092328,34.56920757,1.622153702,B0018
38,3331.265,3.364372479,-0.004309732,35.8592178,1.773033716,B0005
38,3331.265,3.173892042,-0.008825734,36.017314,1.771013042,B0006
38,3331.265,2.092603699,-1.987126806,38.58234015,1.816506092,B0007
38,3220.344,3.44499732,0.00109371,34.50595871,1.614006651,B0018
39,3321.188,3.336014494,0.002106451,36.40939106,1.773037755,B0005
39,3321.188,3.19720715,-0.003438127,35.90775443,1.760471245,B0006
39,3321.188,2.152888643,-1.988000423,38.78749983,1.81138156,B0007
39,3250.75,3.336282449,-0.001096783,34.92518024,1.676051615,B0018
40,3321.844,3.355659628,0.001443794,36.77364626,1.767872111,B0005
40,3321.844,3.227568459,-0.004927191,36.35807936,1.750291379,B0006
40,3321.844,2.053741883,-1.989763558,39.31221126,1.811605633,B0007
40,3239.344,3.406910129,0.003628593,34.21002176,1.649300643,B0018
41,3311.828,3.361490198,0.000905102,36.84756032,1.76231507,B0005
41,3311.828,3.230858082,-0.001453012,36.50421626,1.739492504,B0006
41,3311.828,2.079330059,-1.986886765,39.40567993,1.806054896,B0007
41,3222.25,3.408535629,-0.0009739,34.19993306,1.632382992,B0018
42,3327.391,3.346968122,-0.001459488,36.71091395,1.767617292,B0005
42,3327.391,3.199633267,-0.002292562,36.99126483,1.754676655,B0006
42,3327.391,2.07597933,-1.987433786,39.32802758,1.813204183,B0007
42,3206.157,3.424618629,-0.000917253,33.93860566,1.616415972,B0018
43,3312.078,3.371210049,-0.000750036,36.38019708,1.76266836,B0005
43,3312.078,3.189810324,-0.002874522,36.81410786,1.765939094,B0006
43,3312.078,2.067434948,-1.987118282,38.61125282,1.806264194,B0007
43,3197.969,3.451040334,0.000593435,33.47620704,1.610902838,B0018
44,3293.172,3.379951819,-0.001351175,36.1805145,1.751730487,B0005
44,3293.172,3.249962213,-0.004430989,35.9486655,1.733788742,B0006
44,3293.172,2.037264031,-1.985217168,38.56972695,1.795831025,B0007
44,3181.625,3.447127789,-0.003046378,33.53169798,1.595463869,B0018
45,3275.328,3.391867016,-0.00071823,36.07117792,1.741849605,B0005
45,3275.328,3.276178622,-0.002886507,35.80761415,1.713325912,B0006
45,3275.328,2.163267419,-1.990826155,38.34572084,1.78588526,B0007
45,3302.36,3.153251692,-0.000685326,34.64187919,1.72670744,B0018
46,3265.016,3.389321801,-0.00163827,36.06727402,1.736091351,B0005
46,3265.016,3.289233794,-0.001482136,35.72741105,1.702407781,B0006
46,3265.016,2.106631527,-1.990104969,38.48254063,1.78032686,B0007
46,3285.812,3.220999602,-0.001743322,34.51797227,1.716567392,B0018
47,3328.937,3.239960443,-0.002410259,39.39707856,1.793624015,B0005
47,3328.937,2.93495168,-0.002635958,39.5737867,1.823719462,B0006
47,3328.937,2.180927286,-1.988974957,41.04994219,1.81507569,B0007
47,3260.016,3.27953431,0.000826926,34.4020179,1.695823557,B0018
48,3329.266,3.31112764,-0.000476084,38.24790664,1.783189022,B0005
48,3329.266,3.013358351,-0.00251412,38.78195999,1.808128405,B0006
48,3329.266,2.177349809,-1.986998523,40.36194489,1.815702515,B0007
48,3240.031,3.312914062,-0.000678723,34.34093454,1.677778319,B0018
49,3301.579,3.332862126,-0.002545777,37.66314807,1.767364208,B0005
49,3301.579,3.09819201,0.000650104,37.85904701,1.775761095,B0006
49,3301.579,2.180136102,-1.987598634,39.66769653,1.800243218,B0007
49,3232.265,3.347201035,0.002358026,34.02665838,1.66065869,B0018
50,3283.563,3.333761215,0.000914217,37.41262018,1.757017785,B0005
50,3283.563,3.167346834,0.001188465,37.12135762,1.744740984,B0006
50,3283.563,2.12862952,-1.988124332,39.4811814,1.790447621,B0007
50,3232.031,3.341784146,0.000532716,34.77997329,1.666410927,B0018
51,3275.125,3.361505749,0.000229717,36.98304922,1.746870618,B0005
51,3275.125,3.228685512,-0.003510279,36.58048671,1.729207034,B0006
51,3275.125,2.819149314,0.000700811,39.41905114,1.780343032,B0007
51,3209.515,3.340953803,0.001286104,34.91089521,1.646833617,B0018
52,3265.656,3.352855281,-0.003677569,37.11383317,1.741717251,B0005
52,3265.656,3.259572455,-0.001254241,36.4364075,1.708108655,B0006
52,3265.656,2.791498672,0.000150409,39.72196117,1.77532877,B0007
52,3196.125,3.393857211,0.001032348,34.07147606,1.625763993,B0018
53,3266.093,3.365152082,-0.001924144,37.44763048,1.736422506,B0005
53,3266.093,3.277419952,-0.002464279,36.53091042,1.697595424,B0006
53,3266.093,2.912699551,-0.003713776,40.03166031,1.770262973,B0007
53,3172.562,3.379431086,-0.002351923,34.32783951,1.612157741,B0018
54,3257.594,3.38577286,0.000499507,36.88044924,1.726321724,B0005
54,3257.594,3.30954191,-0.003735704,36.06449508,1.682063452,B0006
54,3257.594,2.995987713,-0.000115522,39.4715147,1.760081062,B0007
54,3172.735,3.4005756,-0.001435774,34.12133578,1.605736682,B0018
55,3248.593,3.408443186,-0.000736288,36.63224569,1.715806539,B0005
55,3248.593,3.322945796,-0.004205019,35.94327251,1.671476832,B0006
55,3248.593,2.972676873,-0.002283351,39.72504113,1.749647594,B0007
55,3238.109,3.313863632,-0.005027017,34.66127067,1.673645315,B0018
56,3238.766,3.409832097,0.000203542,36.73387962,1.710533351,B0005
56,3238.766,3.326877495,-0.004577471,35.89295329,1.660759139,B0006
56,3238.766,2.981408978,-0.002542992,39.74335777,1.749650075,B0007
56,3191.063,3.35177638,-0.000712285,34.64276067,1.640434857,B0018
57,3240.14,3.417268005,-0.005241133,36.82798617,1.7060145,B0005
57,3240.14,3.3364001,-0.00422055,35.95951502,1.651121015,B0006
57,3240.14,3.030747306,-0.000354443,39.81953913,1.745028739,B0007
57,3165.828,3.367600825,-0.000977332,34.63237476,1.613265332,B0018
58,3230.109,3.421833589,-0.000457584,37.08800149,1.700311027,B0005
58,3230.109,3.356231324,-0.0046303,36.03733182,1.640134926,B0006
58,3230.109,3.039062337,0.000513601,40.01028251,1.739645746,B0007
58,3140.407,3.38774316,0.001835628,34.4539714,1.592096432,B0018
59,3229.781,3.427142406,-0.0023235,36.75804959,1.69457986,B0005
59,3229.781,3.371466361,0.001474388,35.71327174,1.629199942,B0006
59,3229.781,3.073271767,-0.004044406,39.75053705,1.728564228,B0007
59,3131.922,3.416049349,0.003491818,34.12379741,1.586601182,B0018
60,3212.469,3.438178718,-0.001432966,36.66588768,1.684902909,B0005
60,3212.469,3.396018762,-0.004672744,35.36649835,1.60884963,B0006
60,3212.469,3.098778836,-0.002713376,39.59496852,1.723900325,B0007
60,3121.109,3.421472451,0.001359849,34.10164946,1.580076649,B0018
61,3213.219,3.465640473,-0.001928563,36.22708832,1.674474159,B0005
61,3213.219,3.393882522,-0.004211278,35.18665272,1.60352449,B0006
61,3213.219,3.121368259,-0.004186989,39.58448144,1.713978878,B0007
61,3105.265,3.415883249,0.00304324,34.39355812,1.564173295,B0018
62,3203.578,3.444985935,-0.000747654,36.83574345,1.674569248,B0005
62,3203.578,3.39781587,-0.004421042,35.67614712,1.598971214,B0006
62,3203.578,3.134628907,-0.001695369,39.78150284,1.7139702,B0007
62,3091.25,3.441266303,0.001071702,34.1019197,1.555618272,B0018
63,3195.125,3.467467091,0.000238786,36.31129508,1.663716376,B0005
63,3195.125,3.416423033,-0.000320003,34.71660829,1.587627312,B0006
63,3195.125,3.121005706,-0.000635056,39.61214975,1.703652117,B0007
63,3076.703,3.440421318,-0.003608566,34.20389504,1.540204528,B0018
64,3195.313,3.471730001,-0.000978078,36.57728194,1.659013869,B0005
64,3195.313,3.417549529,-0.001444462,35.02873638,1.582971974,B0006
64,3195.313,3.16450137,-0.000103956,39.80746181,1.704013747,B0007
64,3062.328,3.445662321,-0.000958459,34.2502124,1.532161302,B0018
65,3186.297,3.466070336,-0.001671215,36.61716358,1.653854057,B0005
65,3186.297,3.427505386,-0.003482665,34.77499131,1.567137637,B0006
65,3186.297,3.210026376,0.00052028,39.41546685,1.693571616,B0007
65,3050.563,3.438874221,-0.001658833,34.26909054,1.53162324,B0018
66,3176.438,3.485289155,0.000145294,36.28502922,1.642653782,B0005
66,3176.438,3.434750843,-0.004482648,34.69789798,1.561344614,B0006
66,3176.438,3.210589611,-0.006451571,39.38468423,1.687657736,B0007
66,3034.672,3.463845759,0.000224304,33.93673654,1.522259595,B0018
67,3167.593,3.480022171,-0.003882124,36.40409776,1.637857843,B0005
67,3167.593,3.44819802,-0.001219527,34.60054157,1.551171189,B0006
67,3167.593,3.211652713,-0.00399359,39.44521506,1.683074436,B0007
67,3031.25,3.460795315,0.002192863,33.94589219,1.506526713,B0018
68,3167.719,3.487572729,-0.004430966,36.33612654,1.632735041,B0005
68,3167.719,3.447136358,0.000722634,34.65518631,1.540674161,B0006
68,3167.719,3.236789079,-0.002354597,39.35070556,1.677927014,B0007
68,3011.343,3.45793996,0.001506946,34.14326364,1.501421956,B0018
69,3159.078,3.48458314,-0.002779507,36.42204258,1.627752892,B0005
69,3159.078,3.455115441,-0.001927143,34.49661504,1.525313874,B0006
69,3159.078,3.236252355,-0.003300493,39.41976351,1.673206028,B0007
69,3003,3.458624303,0.000977114,34.21387438,1.496353412,B0018
70,3148.829,3.484004412,-0.000984305,36.46650027,1.622125486,B0005
70,3148.829,3.468023005,-0.001288228,34.58789397,1.530157032,B0006
70,3148.829,3.238140257,-0.000265768,39.408643,1.667436721,B0007
70,3045.187,3.414320677,0.00571147,34.69706864,1.5334262,B0018
71,3149.094,3.508463138,-0.003643503,36.01706888,1.61132566,B0005
71,3149.094,3.471133597,-0.004490312,34.48391219,1.524656683,B0006
71,3149.094,3.260791247,-0.00071096,39.26414378,1.662266263,B0007
71,3028.469,3.441289288,-0.002109818,34.65377199,1.523845268,B0018
72,3140.547,3.503787286,-0.000527974,36.12135272,1.60656314,B0005
72,3140.547,3.488339089,-0.001221569,34.3231683,1.514549299,B0006
72,3140.547,3.257637774,-0.002723561,39.36784552,1.657424307,B0007
72,3012.937,3.443497944,0.001210354,34.5039069,1.501192099,B0018
73,3131.625,3.500128757,0.00051028,36.20196695,1.601514223,B0005
73,3131.625,3.48822644,-9.20E-05,34.37112414,1.509391505,B0006
73,3131.625,3.256197957,-0.003566946,39.3995952,1.652538685,B0007
73,2998.875,3.459920939,0.0006052,34.47189925,1.492417671,B0018
74,3121.907,3.517670766,-0.003099056,35.8666031,1.590369231,B0005
74,3121.907,3.487700235,-0.002546203,34.37262004,1.503997433,B0006
74,3121.907,3.261237667,-0.004376545,39.32054525,1.647217463,B0007
74,2983.547,3.468314103,-0.001814791,34.29303577,1.483323852,B0018
75,3122.125,3.517448609,-0.004404316,35.80553828,1.585788997,B0005
75,3122.125,3.501914421,-0.001805051,34.06737353,1.493520192,B0006
75,3122.125,3.276791226,-0.001412983,39.2246673,1.636413681,B0007
75,2966.86,3.461167189,-0.002404569,34.44293908,1.480737679,B0018
76,3121.672,3.516013267,-0.001663602,35.6702667,1.584943071,B0005
76,3121.672,3.506489884,-0.002346996,34.01427816,1.487632302,B0006
76,3121.672,3.280204681,-0.001299369,39.0446527,1.636255431,B0007
76,2954.797,3.478026972,8.52E-05,34.34721214,1.473507781,B0018
77,3120.86,3.496983702,-0.001124179,36.34696099,1.595526389,B0005
77,3120.86,3.461271256,-0.001589364,35.63390029,1.530287621,B0006
77,3120.86,3.246330916,-0.003109086,39.49011144,1.641119179,B0007
77,2945.735,3.460131373,-0.001982681,34.85167503,1.468019285,B0018
78,3103.828,3.520220864,-0.003973954,35.52300699,1.574730175,B0005
78,3103.828,3.495979747,-0.002813062,34.63193513,1.504076009,B0006
78,3103.828,3.284793531,-0.001755631,38.82694232,1.631570079,B0007
78,2941.375,3.470528678,0.001498235,34.62998607,1.458092356,B0018
79,3095.094,3.529225684,6.07E-05,35.26695893,1.564901995,B0005
79,3095.094,3.495868233,-0.002245548,34.4836648,1.488759361,B0006
79,3095.094,3.278208354,-0.004172109,38.88522538,1.621213283,B0007
